funddwid,projectid,fundname,type,amount
50452,58324,CDBG-DR,Loan,2298245
55941,58325,CDBG-DR,Loan,2056482
49086,58388,City Capital,Loan,10125000
38945,58450,Purchase Money Mortgage,Loan,61765000
39122,58450,City Capital,Loan,22553084
51612,58479,Reso A,Loan,1500000
51613,58479,City Capital,Loan,16200000
33843,58480,City Capital,Loan,15490000
50123,58548,CDBG-DR,Loan,1285552.97
56133,58555,City Capital,Loan,6500000
37903,58562,Reso A,Loan,1650000
38878,58562,City Capital,Loan,536643
31800,58589,City Capital,Loan,2197628
30749,58608,City Capital,Loan,9900000
58846,58621,City Capital,Loan,13301430
58856,58621,Reso A,Loan,2000000
50017,58623,City Capital,Loan,13321615
50020,58623,Reso A,Loan,500000
49717,58625,City Capital,Loan,14502852
49730,58625,Reso A,Loan,947000
31674,58631,City Capital,Loan,2457000
31921,58638,City Capital,Loan,3220000
36734,58638,Reso A,Loan,250000
38128,58638,City Capital,Loan,12200000
49077,58658,City Capital,Loan,426681
36355,58659,City Capital,Loan,1923920
54513,58661,City Capital,Loan,464412
51663,58666,HOME,Loan,10710000
46252,58671,City Capital,Loan,9773552
30520,58733,City Capital,Loan,3000000
51807,58780,City Capital,Loan,31588555
60343,58780,Reso A,Loan,2500000
30501,58790,Reso A,Loan,500000
36657,58792,Reso A,Loan,2642000
49236,58793,HOME,Loan,8160000
31180,58823,City Capital,Loan,418004
49271,58829,City Capital,Loan,611920
39180,58855,City Capital,Loan,1839747
51471,58860,HTF NYC,Not Applicable,1176232
51475,58860,City Capital,Loan,19212700
36222,58863,City Capital,Loan,4332773
49531,58864,City Capital,Loan,1408462
50960,58885,City Capital,Loan,439798.63
33282,58887,Reso A,Loan,334333
49542,58889,City Capital,Loan,5182623
34847,58891,City Capital,Loan,4456295
51668,58936,City Capital,Loan,16125000
36813,58954,City Capital,Loan,60800000
49341,58955,City Capital,Loan,17561250
39510,58965,City Capital,Loan,9000000
39671,58966,Reso A,Loan,728000
39672,58966,HOME,Loan,12399532
52655,58972,City Capital,Loan,7816405
48961,58980,City Capital,Loan,365174
38446,58992,City Capital,Loan,263816.35
49145,59031,City Capital,Loan,1238075
49146,59031,Reso A,Loan,458000
50601,59058,City Capital,Loan,278300
51067,59058,Reso A,Loan,59700
51978,59104,Reso A,Loan,500000
50802,59105,CDBG-DR,Grant,1225803.8
38693,59117,City Capital,Loan,5230000
49913,59388,City Capital,Loan,4660007
49915,59388,HOME,Loan,4500000
34366,59474,City Capital,Loan,21545000
50158,59495,City Capital,Loan,10880000
49210,59637,City Capital,Loan,1325181.55
39323,59740,City Capital,Loan,3300000
65981,59843,HOME,Loan,10625000
32422,59946,City Capital,Loan,15274497
53375,59976,Reso A,Loan,500000
53376,59976,City Capital,Loan,2275280
38189,60000,City Capital,Loan,647792
39707,60020,City Capital,Loan,10287200
39721,60020,City Capital,Loan,9200000
50058,60027,City Capital,Loan,2890572
66978,60031,City Capital,Loan,18742500
35170,60034,Reso A,Loan,100000
51656,60041,City Capital,Loan,849716
31130,60049,City Capital,Loan,7430199
51655,60102,City Capital,Loan,6529594
51986,60248,City Capital,Loan,626300
49621,60249,City Capital,Loan,18090740
49364,60319,City Capital,Loan,4845018
51369,60327,HOME,Loan,2000000
51370,60327,City Capital,Loan,6850000
49690,60342,City Capital,Loan,6048000
49691,60342,Reso A,Grant,500000
34427,60361,City Capital,Loan,992505.4
51849,60425,421-a Fund,Loan,3325000
51850,60425,City Capital,Loan,2250000
51851,60425,City Capital,Loan,2175000
50474,60435,City Capital,Loan,978811
39733,60505,City Capital,Loan,3526000
49256,60779,City Capital,Loan,13350000
52872,60784,City Capital,Loan,7309014
49631,60810,City Capital,Loan,12525000
49632,60810,Reso A,Loan,1000000
49633,60810,City Capital,Loan,6600000
52044,60824,City Capital,Loan,7957334
51682,60963,Reso A,Loan,6000000
60599,60963,HOME,Loan,11676840
51289,60996,City Capital,Loan,4971103
54218,61186,City Capital,Loan,6675000
54224,61186,Reso A,Loan,1500000
57427,61271,City Capital,Loan,9441074
51699,61290,City Capital,Loan,9598633
50632,61297,City Capital,Loan,21864060
53704,61357,City Capital,Loan,22727066
39694,61405,Reso A,Loan,3000000
